"행정구역","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0세","2021년_계_1세","2021년_계_2세","2021년_계_3세","2021년_계_4세","2021년_계_5세","2021년_계_6세"
"전국  (0000000000)","51,638,809","2,387,763","253,946","274,633","306,120","332,157","363,613","412,739","444,555"
"서울특별시  (1100000000)","9,509,458","375,106","43,410","44,904","48,900","51,445","55,879","62,987","67,581"
"부산광역시  (2600000000)","3,350,380","138,947","14,112","15,294","17,336","19,420","21,616","24,566","26,603"
"대구광역시  (2700000000)","2,385,412","105,524","10,408","11,371","13,434","14,643","16,501","18,951","20,216"
"인천광역시  (2800000000)","2,948,375","138,349","14,603","15,994","17,905","19,411","20,841","23,768","25,827"
"광주광역시  (2900000000)","1,441,611","71,441","7,819","7,798","8,976","9,872","10,884","12,545","13,547"
"대전광역시  (3000000000)","1,452,251","68,117","7,342","7,668","8,640","9,301","10,520","11,841","12,805"
"울산광역시  (3100000000)","1,121,592","57,970","5,926","6,415","7,310","7,939","8,934","10,345","11,101"
"세종특별자치시  (3600000000)","371,895","30,746","3,445","3,526","3,952","4,345","4,730","5,209","5,539"
"경기도  (4100000000)","13,565,450","702,824","74,799","81,421","90,332","98,341","106,691","121,200","130,040"
"강원도  (4200000000)","1,538,492","64,676","7,258","8,081","8,683","8,832","9,517","10,782","11,523"
"충청북도  (4300000000)","1,597,427","74,651","8,030","8,730","9,352","10,745","11,395","12,848","13,551"
"충청남도  (4400000000)","2,119,257","103,232","10,759","12,061","13,317","14,392","15,865","17,707","19,131"
"전라북도  (4500000000)","1,786,855","73,604","7,296","8,197","9,143","10,147","11,469","12,917","14,435"
"전라남도  (4600000000)","1,832,803","77,930","8,242","9,418","10,423","10,781","11,699","13,208","14,159"
"경상북도  (4700000000)","2,626,609","113,044","11,755","12,910","14,369","15,876","17,224","19,725","21,185"
"경상남도  (4800000000)","3,314,183","155,419","15,087","16,812","19,376","21,601","24,228","27,823","30,492"
"제주특별자치도  (5000000000)","676,759","36,183","3,655","4,033","4,672","5,066","5,620","6,317","6,820"
