"행정구역","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_9세","2021년_계_10세","2021년_계_11세","2021년_계_12세","2021년_계_13세","2021년_계_14세","2021년_계_15세","2021년_계_16세","2021년_계_17세","2021년_계_18세","2021년_계_19세"
"서울특별시  (1100000000)","9,509,458","830,616","74,480","71,911","72,979","69,798","74,226","78,965","73,101","70,668","78,485","81,354","84,649"
"서울특별시 종로구 (1111000000)","144,683","11,342","961","890","1,016","936","977","1,115","1,026","952","1,074","1,092","1,303"
"서울특별시 종로구 청운효자동(1111051500)","11,978","1,265","117","93","111","124","104","141","124","99","123","114","115"
"서울특별시 종로구 사직동(1111053000)","9,372","743","68","69","63","60","77","73","64","63","80","71","55"
"서울특별시 종로구 삼청동(1111054000)","2,456","188","17","14","15","22","16","20","24","13","16","19","12"
"서울특별시 종로구 부암동(1111055000)","9,579","934","80","58","85","79","77","102","98","81","97","92","85"
"서울특별시 종로구 평창동(1111056000)","18,152","1,721","142","141","174","130","147","168","143","150","175","169","182"
"서울특별시 종로구 무악동(1111057000)","8,259","1,060","84","93","102","99","98","108","87","90","94","110","95"
"서울특별시 종로구 교남동(1111058000)","10,046","883","98","73","82","76","75","81","79","92","64","89","74"
"서울특별시 종로구 가회동(1111060000)","4,088","346","26","38","33","34","35","35","34","27","27","27","30"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,197","247","22","21","23","28","15","21","21","15","17","14","50"
"서울특별시 종로구 종로5.6가동(1111063000)","5,089","224","13","15","18","20","19","15","19","13","26","22","44"
"서울특별시 종로구 이화동(1111064000)","7,231","399","39","21","30","33","34","44","36","33","39","32","58"
"서울특별시 종로구 혜화동(1111065000)","16,383","1,379","92","116","119","95","111","126","117","109","136","112","246"
"서울특별시 종로구 창신제1동(1111067000)","4,891","232","15","17","20","19","19","19","20","20","24","31","28"
"서울특별시 종로구 창신제2동(1111068000)","7,911","453","23","34","29","34","39","39","40","43","38","51","83"
"서울특별시 종로구 창신제3동(1111069000)","6,575","515","46","26","42","41","54","47","57","39","49","64","50"
"서울특별시 종로구 숭인제1동(1111070000)","5,837","385","45","31","31","26","26","45","37","33","32","40","39"
"서울특별시 종로구 숭인제2동(1111071000)","9,639","368","34","30","39","16","31","31","26","32","37","35","57"
"서울특별시 중구 (1114000000)","122,499","7,170","696","656","601","532","594","670","581","574","689","703","874"
"서울특별시 중구 소공동(1114052000)","2,250","144","22","15","10","7","13","20","10","10","14","8","15"
"서울특별시 중구 회현동(1114054000)","4,784","235","22","24","23","15","19","18","22","15","21","27","29"
"서울특별시 중구 명동(1114055000)","2,884","141","15","11","11","10","9","14","8","11","13","15","24"
"서울특별시 중구 필동(1114057000)","4,023","214","21","21","19","14","10","20","19","11","17","19","43"
"서울특별시 중구 장충동(1114058000)","4,590","276","29","16","14","18","26","24","27","28","25","27","42"
"서울특별시 중구 광희동(1114059000)","5,255","196","17","10","15","16","11","26","16","17","17","12","39"
"서울특별시 중구 을지로동(1114060500)","1,738","40","4","2","3","5","5","4","3","1","1","7","5"
"서울특별시 중구 신당동(1114061500)","7,673","288","18","24","22","23","25","24","25","29","23","33","42"
"서울특별시 중구 다산동(1114062500)","13,798","848","74","74","64","67","73","73","69","72","80","96","106"
"서울특별시 중구 약수동(1114063500)","16,676","1,049","114","115","101","85","80","101","74","70","100","94","115"
"서울특별시 중구 청구동(1114064500)","13,588","923","87","82","80","61","73","92","75","72","94","95","112"
"서울특별시 중구 신당제5동(1114065000)","10,363","573","50","51","43","43","54","54","52","45","64","52","65"
"서울특별시 중구 동화동(1114066500)","10,266","878","67","93","69","68","68","85","79","76","102","77","94"
"서울특별시 중구 황학동(1114067000)","12,576","538","61","47","47","40","41","48","36","40","58","53","67"
"서울특별시 중구 중림동(1114068000)","12,035","827","95","71","80","60","87","67","66","77","60","88","76"
"서울특별시 용산구 (1117000000)","222,953","16,135","1,443","1,384","1,402","1,306","1,355","1,504","1,377","1,415","1,591","1,580","1,778"
"서울특별시 용산구 후암동(1117051000)","16,833","1,294","116","106","115","95","103","140","108","123","111","122","155"
"서울특별시 용산구 용산2가동(1117052000)","9,456","520","33","37","37","42","35","59","39","64","64","46","64"
"서울특별시 용산구 남영동(1117053000)","7,351","284","24","22","20","27","19","21","26","24","40","25","36"
"서울특별시 용산구 청파동(1117055500)","19,471","1,126","79","69","82","92","91","97","102","105","111","119","179"
"서울특별시 용산구 원효로제1동(1117056000)","15,950","1,016","114","105","108","81","76","93","74","85","95","84","101"
"서울특별시 용산구 원효로제2동(1117057000)","13,751","1,261","94","116","111","94","107","103","107","126","128","139","136"
"서울특별시 용산구 효창동(1117058000)","10,037","761","66","67","74","51","70","77","60","41","83","84","88"
"서울특별시 용산구 용문동(1117059000)","11,863","786","67","57","76","64","56","73","72","74","73","87","87"
"서울특별시 용산구 한강로동(1117062500)","21,763","1,094","94","103","96","111","95","100","73","104","85","116","117"
"서울특별시 용산구 이촌제1동(1117063000)","25,893","3,058","350","292","290","272","284","293","258","258","272","248","241"
"서울특별시 용산구 이촌제2동(1117064000)","8,303","546","48","49","35","48","49","59","58","36","52","57","55"
"서울특별시 용산구 이태원제1동(1117065000)","6,392","279","16","27","17","24","22","28","29","18","35","31","32"
"서울특별시 용산구 이태원제2동(1117066000)","8,997","511","46","45","45","36","43","50","35","39","57","53","62"
"서울특별시 용산구 한남동(1117068500)","20,389","1,251","113","123","116","102","100","109","114","93","122","127","132"
"서울특별시 용산구 서빙고동(1117069000)","13,051","1,554","120","116","123","119","135","135","145","155","163","159","184"
"서울특별시 용산구 보광동(1117070000)","13,453","794","63","50","57","48","70","67","77","70","100","83","109"
"서울특별시 성동구 (1120000000)","285,990","20,884","1,981","1,853","1,756","1,603","1,824","1,962","1,726","1,784","1,986","2,014","2,395"
"서울특별시 성동구 왕십리제2동(1120052000)","16,475","1,214","107","105","101","85","108","116","104","109","141","112","126"
"서울특별시 성동구 왕십리도선동(1120053500)","26,430","1,829","234","188","191","157","135","149","131","139","144","177","184"
"서울특별시 성동구 마장동(1120054000)","22,362","1,675","131","142","121","132","136","155","162","147","173","158","218"
"서울특별시 성동구 사근동(1120055000)","11,915","713","37","30","39","35","47","58","47","50","49","75","246"
"서울특별시 성동구 행당제1동(1120056000)","13,904","1,079","88","106","97","73","80","97","96","108","115","94","125"
"서울특별시 성동구 행당제2동(1120057000)","23,280","2,190","191","197","166","165","192","228","215","199","208","209","220"
"서울특별시 성동구 응봉동(1120058000)","15,408","1,739","147","146","175","155","179","205","152","141","150","149","140"
"서울특별시 성동구 금호1가동(1120059000)","15,240","1,209","126","110","95","96","123","91","101","106","121","119","121"
