"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0~9세","2016년_계_10~19세","2016년_계_20~29세","2016년_계_30~39세","2016년_계_40~49세","2016년_계_50~59세","2016년_계_60~69세","2016년_계_70~79세","2016년_계_80~89세","2016년_계_90~99세","2016년_계_100세 이상"
"서울특별시  (1100000000)","9,930,616","9,930,616","761,314","934,205","1,442,701","1,620,974","1,678,172","1,570,037","1,076,270","602,541","207,716","31,211","5,475"
"서울특별시 종로구 (1111000000)","152,737","152,737","9,039","13,546","23,270","21,063","25,422","25,323","17,535","11,899","4,584","836","220"
"서울특별시 중구 (1114000000)","125,249","125,249","8,117","8,533","17,745","20,439","20,094","21,115","15,217","9,440","3,762","627","160"
"서울특별시 용산구 (1117000000)","230,241","230,241","16,343","18,815","31,289","38,159","39,497","35,996","25,270","16,570","6,807","1,180","315"
"서울특별시 성동구 (1120000000)","299,259","299,259","23,593","24,490","44,196","51,486","50,163","48,071","31,058","18,723","6,394","887","198"
"서울특별시 광진구 (1121500000)","357,215","357,215","25,222","32,260","59,460","61,798","59,439","56,510","35,636","19,421","6,378","917","174"
"서울특별시 동대문구 (1123000000)","355,069","355,069","25,072","29,436","54,069","55,372","57,140","56,834","41,351","25,875","8,503","1,175","242"
"서울특별시 중랑구 (1126000000)","411,005","411,005","29,145","34,792","58,560","64,909","66,466","72,772","48,476","26,198","8,380","1,153","154"
"서울특별시 성북구 (1129000000)","450,355","450,355","35,453","43,041","64,375","67,183","78,758","69,510","48,775","30,941","10,563","1,451","305"
"서울특별시 강북구 (1130500000)","327,195","327,195","21,631","28,351","43,432","47,400","54,538","54,834","41,217","26,426","8,027","1,098","241"
"서울특별시 도봉구 (1132000000)","348,220","348,220","25,106","33,690","47,217","48,916","57,768","60,650","41,226","23,824","8,525","1,169","129"
"서울특별시 노원구 (1135000000)","567,581","567,581","44,051","67,824","77,584","79,345","102,368","91,272","57,630","32,737","12,707","1,836","227"
"서울특별시 은평구 (1138000000)","491,476","491,476","37,685","46,957","64,921","76,274","84,489","78,187","55,532","34,225","11,321","1,524","361"
"서울특별시 서대문구 (1141000000)","314,194","314,194","22,467","28,070","47,814","47,523","52,404","49,351","33,807","23,027","8,336","1,180","215"
"서울특별시 마포구 (1144000000)","379,892","379,892","30,663","32,846","57,870","70,027","66,103","53,937","35,435","23,077","8,438","1,217","279"
"서울특별시 양천구 (1147000000)","477,739","477,739","38,397","59,881","64,116","67,387","88,277","79,071","47,772","22,977","8,457","1,251","153"
"서울특별시 강서구 (1150000000)","595,485","595,485","50,711","53,550","85,425","107,459","96,023","93,154","64,553","31,106","11,529","1,774","201"
"서울특별시 구로구 (1153000000)","417,551","417,551","36,429","35,381","56,440","72,401","68,269","65,600","48,424","25,504","7,935","1,018","150"
"서울특별시 금천구 (1154500000)","235,386","235,386","15,943","19,417","34,506","36,817","38,379","42,149","27,871","14,988","4,571","598","147"
"서울특별시 영등포구 (1156000000)","370,613","370,613","28,442","29,116","53,949","66,187","59,720","58,350","41,411","23,668","8,336","1,206","228"
"서울특별시 동작구 (1159000000)","400,997","400,997","30,774","33,047","63,826","69,763","63,798","60,016","43,587","25,789","8,837","1,309","251"
"서울특별시 관악구 (1162000000)","506,851","506,851","31,654","36,374","97,145","95,116","77,193","71,901","55,034","31,911","8,984","1,270","269"
"서울특별시 서초구 (1165000000)","447,192","447,192","41,440","49,171","59,272","74,799","82,579","63,377","44,217","22,900","7,772","1,472","193"
"서울특별시 강남구 (1168000000)","567,115","567,115","43,474","65,096","81,462","96,435","103,591","82,609","55,525","27,469","9,385","1,832","237"
"서울특별시 송파구 (1171000000)","657,831","657,831","55,694","67,123","92,874","113,369","112,606","103,708","68,603","30,814","10,972","1,846","222"
"서울특별시 강동구 (1174000000)","444,168","444,168","34,769","43,398","61,884","71,347","73,088","75,740","51,108","23,032","8,213","1,385","204"
