"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0~9세","2016년_계_10~19세","2016년_계_20~29세","2016년_계_30~39세","2016년_계_40~49세","2016년_계_50~59세","2016년_계_60~69세","2016년_계_70~79세","2016년_계_80~89세","2016년_계_90~99세","2016년_계_100세 이상","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~9세","2017년_계_10~19세","2017년_계_20~29세","2017년_계_30~39세","2017년_계_40~49세","2017년_계_50~59세","2017년_계_60~69세","2017년_계_70~79세","2017년_계_80~89세","2017년_계_90~99세","2017년_계_100세 이상","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~9세","2018년_계_10~19세","2018년_계_20~29세","2018년_계_30~39세","2018년_계_40~49세","2018년_계_50~59세","2018년_계_60~69세","2018년_계_70~79세","2018년_계_80~89세","2018년_계_90~99세","2018년_계_100세 이상","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~9세","2019년_계_10~19세","2019년_계_20~29세","2019년_계_30~39세","2019년_계_40~49세","2019년_계_50~59세","2019년_계_60~69세","2019년_계_70~79세","2019년_계_80~89세","2019년_계_90~99세","2019년_계_100세 이상","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_계_10~19세","2020년_계_20~29세","2020년_계_30~39세","2020년_계_40~49세","2020년_계_50~59세","2020년_계_60~69세","2020년_계_70~79세","2020년_계_80~89세","2020년_계_90~99세","2020년_계_100세 이상","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~9세","2021년_계_10~19세","2021년_계_20~29세","2021년_계_30~39세","2021년_계_40~49세","2021년_계_50~59세","2021년_계_60~69세","2021년_계_70~79세","2021년_계_80~89세","2021년_계_90~99세","2021년_계_100세 이상"
"서울특별시  (1100000000)","9,930,616","9,930,616","761,314","934,205","1,442,701","1,620,974","1,678,172","1,570,037","1,076,270","602,541","207,716","31,211","5,475","9,857,426","9,857,426","728,462","894,656","1,447,115","1,579,189","1,647,989","1,553,543","1,109,052","635,309","223,113","33,479","5,519","9,765,623","9,765,623","690,368","855,121","1,449,790","1,548,770","1,590,374","1,546,954","1,142,415","660,825","238,869","36,294","5,843","9,729,107","9,729,107","662,693","819,571","1,456,623","1,509,959","1,560,983","1,539,968","1,189,802","684,087","259,487","39,690","6,244","9,668,465","9,668,465","623,745","781,866","1,460,411","1,475,106","1,528,182","1,523,556","1,243,954","704,076","278,094","42,683","6,792","9,509,458","9,509,458","583,683","756,136","1,422,277","1,439,279","1,480,780","1,507,194","1,285,922","695,800","295,009","41,735","1,643"
"서울특별시 종로구 (1111000000)","152,737","152,737","9,039","13,546","23,270","21,063","25,422","25,323","17,535","11,899","4,584","836","220","154,770","154,770","9,003","12,978","23,907","21,433","25,072","25,857","18,058","12,439","4,922","875","226","153,065","153,065","8,588","12,383","23,765","21,231","23,849","25,744","18,581","12,517","5,216","960","231","151,290","151,290","8,211","11,748","23,572","20,376","23,077","25,714","19,128","12,538","5,673","1,000","253","149,384","149,384","7,527","11,013","23,416","19,943","22,231","25,459","19,948","12,500","5,978","1,093","276","144,683","144,683","6,984","10,381","22,802","19,470","20,969","24,957","20,352","11,637","6,149","950","32"
"서울특별시 중구 (1114000000)","125,249","125,249","8,117","8,533","17,745","20,439","20,094","21,115","15,217","9,440","3,762","627","160","125,709","125,709","7,927","8,129","18,102","20,395","19,801","21,022","15,745","9,832","3,924","666","166","125,725","125,725","7,597","7,693","18,267","20,770","18,968","21,024","16,276","10,064","4,173","714","179","126,171","126,171","7,389","7,308","18,473","20,662","18,491","20,956","16,948","10,380","4,542","835","187","125,240","125,240","6,836","6,773","18,586","20,107","18,011","20,702","17,551","10,733","4,836","900","205","122,499","122,499","6,299","6,474","18,309","19,886","17,379","20,043","18,083","10,221","4,967","812","26"
"서울특별시 용산구 (1117000000)","230,241","230,241","16,343","18,815","31,289","38,159","39,497","35,996","25,270","16,570","6,807","1,180","315","229,161","229,161","15,310","18,008","31,993","38,016","38,441","35,846","25,834","16,875","7,264","1,262","312","228,999","228,999","14,706","17,149","32,515","38,285","37,130","36,247","26,537","16,995","7,733","1,365","337","228,670","228,670","14,132","16,391","32,837","38,033","36,159","36,459","27,485","17,122","8,176","1,523","353","230,040","230,040","13,496","15,609","33,485","38,069","35,698","37,070","28,840","17,203","8,572","1,627","371","222,953","222,953","12,653","14,692","32,778","37,719","33,781","36,122","29,169","15,960","8,591","1,417","71"
"서울특별시 성동구 (1120000000)","299,259","299,259","23,593","24,490","44,196","51,486","50,163","48,071","31,058","18,723","6,394","887","198","304,808","304,808","23,437","23,854","45,940","52,396","50,183","48,614","32,557","19,691","6,994","927","215","308,221","308,221","23,077","22,969","46,897","53,359","49,231","49,449","34,279","20,166","7,535","1,030","229","300,889","300,889","21,983","21,435","45,985","50,964","47,169","48,446","35,133","20,424","8,014","1,102","234","293,556","293,556","20,449","19,815","45,043","48,905","45,020","47,248","36,534","20,586","8,520","1,185","251","285,990","285,990","19,222","18,903","43,463","46,815","43,346","46,154","37,768","20,111","9,002","1,158","48"
"서울특별시 광진구 (1121500000)","357,215","357,215","25,222","32,260","59,460","61,798","59,439","56,510","35,636","19,421","6,378","917","174","357,703","357,703","24,212","30,875","60,549","61,198","58,472","56,514","37,178","20,556","6,957","1,015","177","355,559","355,559","23,182","29,234","61,256","60,447","56,164","56,427","38,679","21,347","7,550","1,083","190","351,350","351,350","21,657","27,573","61,751","58,175","54,490","55,638","40,451","21,943","8,262","1,205","205","346,682","346,682","19,572","25,931","62,940","55,983","52,482","54,541","42,460","22,428","8,850","1,277","218","339,996","339,996","17,744","24,774","61,616","54,715","50,470","53,801","44,152","21,933","9,495","1,246","50"
"서울특별시 동대문구 (1123000000)","355,069","355,069","25,072","29,436","54,069","55,372","57,140","56,834","41,351","25,875","8,503","1,175","242","350,647","350,647","23,694","27,914","54,166","53,127","55,790","55,953","42,357","26,911","9,179","1,310","246","348,052","348,052","22,896","26,533","54,289","52,789","53,730","55,423","43,292","27,508","9,912","1,421","259","346,194","346,194","22,115","25,227","55,028","51,458","52,463","54,608","44,789","27,942","10,763","1,525","276","342,837","342,837","20,788","23,647","56,331","50,175","50,630","53,262","46,393","28,195","11,521","1,582","313","337,400","337,400","19,590","22,767","56,271","49,023","49,002","52,243","47,532","27,290","12,143","1,470","69"
"서울특별시 중랑구 (1126000000)","411,005","411,005","29,145","34,792","58,560","64,909","66,466","72,772","48,476","26,198","8,380","1,153","154","408,226","408,226","28,018","32,554","58,319","63,448","64,652","72,314","50,449","27,945","9,113","1,249","165","403,209","403,209","26,293","30,589","57,490","62,177","61,536","72,008","52,463","29,329","9,783","1,372","169","397,015","397,015","24,712","28,532","56,251","59,522","59,315","70,861","54,979","30,337","10,805","1,515","186","394,702","394,702","23,064","26,759","56,112","58,124","57,883","69,528","58,222","31,445","11,758","1,601","206","387,350","387,350","21,285","25,432","54,128","57,025","55,710","67,518","60,705","31,176","12,702","1,602","67"
"서울특별시 성북구 (1129000000)","450,355","450,355","35,453","43,041","64,375","67,183","78,758","69,510","48,775","30,941","10,563","1,451","305","444,055","444,055","33,599","41,755","63,881","64,447","76,956","68,590","49,697","31,940","11,309","1,569","312","435,868","435,868","31,323","40,086","63,590","62,008","73,259","68,347","50,620","32,478","12,097","1,728","332","442,650","442,650","30,994","39,102","66,270","62,041","72,541","69,841","53,047","33,198","13,357","1,896","363","437,153","437,153","28,822","37,145","66,972","59,843","69,839","69,381","54,897","33,568","14,229","2,073","384","430,528","430,528","27,326","35,986","65,580","58,415","67,446","69,280","56,803","32,464","15,136","2,027","65"
"서울특별시 강북구 (1130500000)","327,195","327,195","21,631","28,351","43,432","47,400","54,538","54,834","41,217","26,426","8,027","1,098","241","324,479","324,479","20,453","26,814","44,012","45,371","53,260","54,441","42,069","27,849","8,811","1,182","217","319,164","319,164","18,921","25,261","43,842","43,446","50,661","54,270","42,837","28,854","9,574","1,269","229","313,954","313,954","17,420","23,660","43,350","41,035","48,929","53,606","44,177","29,587","10,557","1,399","234","308,055","308,055","15,714","22,027","42,944","38,757","46,718","52,642","45,892","30,087","11,516","1,509","249","299,182","299,182","14,148","20,796","41,001","37,120","43,923","51,700","47,172","29,304","12,507","1,466","45"
